"url","Beer","Beer_link","Brewery","Brewery_link","Type","Type_link","ABV","Score","Reviews","Ratings"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest White Ale","https://www.beeradvocate.com/beer/profile/697/2013/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Witbier","https://www.beeradvocate.com/beer/style/48/","/ 5.50% ABV","4.05","544",""
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Espresso Stout","https://www.beeradvocate.com/beer/profile/697/37836/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","American Double / Imperial Stout","https://www.beeradvocate.com/beer/style/157/","/ 7.00% ABV","3.95","417","| 977"
"https://www.beeradvocate.com/lists/jp/","Suruga Bay Imperial IPA","https://www.beeradvocate.com/beer/profile/3599/57326/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","American Double / Imperial IPA","https://www.beeradvocate.com/beer/style/140/","/ 7.50% ABV","3.83","55","| 149"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Nipponia","https://www.beeradvocate.com/beer/profile/697/61007/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","American Double / Imperial Pilsner","https://www.beeradvocate.com/beer/style/164/","/ 6.50% ABV","3.81","75","| 142"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Anbai Ale","https://www.beeradvocate.com/beer/profile/697/107200/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Gose","https://www.beeradvocate.com/beer/style/16/","/ 7.00% ABV","3.8","28","| 157"
"https://www.beeradvocate.com/lists/jp/","The Carpenters Mikan Ale","https://www.beeradvocate.com/beer/profile/3599/24535/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","Fruit / Vegetable Beer","https://www.beeradvocate.com/beer/style/9/","/ 7.00% ABV","3.79","21","| 38"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Japanese Classic Ale","https://www.beeradvocate.com/beer/profile/697/16429/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","English India Pale Ale (IPA)","https://www.beeradvocate.com/beer/style/150/","/ 7.00% ABV","3.79","257","| 446"
"https://www.beeradvocate.com/lists/jp/","Yona Yona Ale","https://www.beeradvocate.com/beer/profile/3553/10429/","Yo-Ho Brewing Company","https://www.beeradvocate.com/beer/profile/3553/","American Pale Ale (APA)","https://www.beeradvocate.com/beer/style/97/","/ 5.50% ABV","3.79","61","| 150"
"https://www.beeradvocate.com/lists/jp/","Kurofune Porter","https://www.beeradvocate.com/beer/profile/3599/7955/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","Baltic Porter","https://www.beeradvocate.com/beer/style/80/","/ 6.00% ABV","3.78","93","| 159"
"https://www.beeradvocate.com/lists/jp/","Baird Angry Boy Brown Ale","https://www.beeradvocate.com/beer/profile/3599/10484/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","English Brown Ale","https://www.beeradvocate.com/beer/style/74/","/ 6.20% ABV","3.77","90","| 150"
"https://www.beeradvocate.com/lists/jp/","Red Rose Amber Ale","https://www.beeradvocate.com/beer/profile/3599/16904/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","American Amber / Red Ale","https://www.beeradvocate.com/beer/style/128/","/ 5.40% ABV","3.77","49","| 84"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Extra High (XH)","https://www.beeradvocate.com/beer/profile/697/7728/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Belgian Strong Dark Ale","https://www.beeradvocate.com/beer/style/56/","/ 8.00% ABV","3.76","358","| 719"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Commemorative Ale","https://www.beeradvocate.com/beer/profile/697/40223/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Eisbock","https://www.beeradvocate.com/beer/style/36/","/ 9.00% ABV","3.75","115","| 244"
"https://www.beeradvocate.com/lists/jp/","West Coast Wheat Wine","https://www.beeradvocate.com/beer/profile/3599/24539/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","Wheatwine","https://www.beeradvocate.com/beer/style/60/","/ 10.50% ABV","3.74","19","| 22"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Saison Du Japon","https://www.beeradvocate.com/beer/profile/697/163288/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Saison / Farmhouse Ale","https://www.beeradvocate.com/beer/style/129/","/ 5.00% ABV","3.74","17","| 66"
"https://www.beeradvocate.com/lists/jp/","Red Fox (Rogue's American Amber)","https://www.beeradvocate.com/beer/profile/3469/18770/","Ezo Beer KK","https://www.beeradvocate.com/beer/profile/3469/","American Amber / Red Ale","https://www.beeradvocate.com/beer/style/128/","/ 5.10% ABV","3.73","22","| 27"
"https://www.beeradvocate.com/lists/jp/","Dark Sky Imperial Stout","https://www.beeradvocate.com/beer/profile/3599/24536/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","Russian Imperial Stout","https://www.beeradvocate.com/beer/style/84/","/ 9.50% ABV","3.73","76","| 135"
"https://www.beeradvocate.com/lists/jp/","Ginga Kogen Wheat Beer","https://www.beeradvocate.com/beer/profile/3444/15840/","Ginga Kogen Beer","https://www.beeradvocate.com/beer/profile/3444/","Hefeweizen","https://www.beeradvocate.com/beer/style/89/","/ 5.00% ABV","3.73","19","| 42"
"https://www.beeradvocate.com/lists/jp/","Rising Sun Pale Ale","https://www.beeradvocate.com/beer/profile/3599/10592/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","American Pale Ale (APA)","https://www.beeradvocate.com/beer/style/97/","/ 5.10% ABV","3.73","84","| 157"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Weizen","https://www.beeradvocate.com/beer/profile/697/2042/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Hefeweizen","https://www.beeradvocate.com/beer/style/89/","/ 5.00% ABV","3.72","163","| 275"
"https://www.beeradvocate.com/lists/jp/","Ozeno Yukidoke IPA","https://www.beeradvocate.com/beer/profile/11338/42558/","Ryujin Shuzo Co,. Ltd.","https://www.beeradvocate.com/beer/profile/11338/","American IPA","https://www.beeradvocate.com/beer/style/116/","/ 5.50% ABV","3.72","15","| 48"
"https://www.beeradvocate.com/lists/jp/","Tokyo Black","https://www.beeradvocate.com/beer/profile/3553/27506/","Yo-Ho Brewing Company","https://www.beeradvocate.com/beer/profile/3553/","American Porter","https://www.beeradvocate.com/beer/style/159/","/ 5.00% ABV","3.71","84","| 190"
"https://www.beeradvocate.com/lists/jp/","Iwatekura Oyster Stout","https://www.beeradvocate.com/beer/profile/4974/42593/","Sekinoichi-shuzou, Iwate-kura Brewery","https://www.beeradvocate.com/beer/profile/4974/","Russian Imperial Stout","https://www.beeradvocate.com/beer/style/84/","/ 8.00% ABV","3.7","11","| 22"
"https://www.beeradvocate.com/lists/jp/","Teikoku IPA","https://www.beeradvocate.com/beer/profile/3599/7954/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","American IPA","https://www.beeradvocate.com/beer/style/116/","/ 5.80% ABV","3.69","31","| 59"
"https://www.beeradvocate.com/lists/jp/","Samurai Barley Ale","https://www.beeradvocate.com/beer/profile/4893/64658/","Hyouko Yashiki No Mori Brewery","https://www.beeradvocate.com/beer/profile/4893/","American Barleywine","https://www.beeradvocate.com/beer/style/19/","/ 10.00% ABV","3.69","20","| 43"
"https://www.beeradvocate.com/lists/jp/","Echigo Stout","https://www.beeradvocate.com/beer/profile/5046/10850/","Uehara Shuzou Co. Ltd. / Echigo Beer Pub","https://www.beeradvocate.com/beer/profile/5046/","English Stout","https://www.beeradvocate.com/beer/style/13/","/ 7.00% ABV","3.68","73","| 138"
