"url","Business","Street Address","City","Zipcode","Rating","ReviewCount","BeerAvg","BeerCount","BusinessType"
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","Canadian Brewery Inc. (North Island Beer)","","","","-","-","-","2",""
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","","Higashi-ku Kita 26 Jo-Higashi 1-3-8","Hokkaido Sapporo-shi","Higashi-ku Kita 26 Jo-Higashi 1-3-8; , 065-0026; +81 11-752-2550","","","","","Brewery, Bar"
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","Chateau Kamiya Hachinohe","","","","-","-","3.71","13",""
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","","2-11-70, Shiroshita","Aomori-ken Hachinohe-shi","2-11-70, Shiroshita; , 031-0072; +81 0178-72-1588","","","","","Brewery, Bar"
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","Chateau Kamiya Ushiku","","","","3.45","1","-","1",""
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","","Chuou 3-20-1","Ibaraki-ken Ushiku-shi","Chuou 3-20-1; Ushiku City; , 300-1234; +81 029-873-3151","","","","","Brewery, Bar, Eatery"
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","Coedo Brewery (Kyodo Shoji Koedo Brewery)","","","","-","-","3.72","10",""
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","","385-10 Kamitome, Miyoshi-machi, Iruma-gun","Saitama-ken Kawagoe-shi","385-10 Kamitome, Miyoshi-machi, Iruma-gun; , 354-0045; +81 49-259-7735","","","","","Brewery"
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","Daigo Brewery","","","","-","-","-","0",""
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","","1653 Kamikanesawa, Daigomachi","Ibaraki-ken Kuji-Gun","1653 Kamikanesawa, Daigomachi; , 319-3535; 02957-2-8888","","","","","Brewery, Eatery, Store"
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","Daisen G Beer","","","","-","-","3.73","4",""
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","","1740-30 Maruyama, Houki-cho","Tottori-ken Saihaku-gun","1740-30 Maruyama, Houki-cho; , 689-4108; 0859-39-8033","","","","","Brewery"
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","Denen Plaza Kawaba Brewery","","","","-","-","3.47","4",""
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","","385 Hagimuro, Kawaba-mura","Gunma-ken Tone-gun","385 Hagimuro, Kawaba-mura; Ohazahagi-shitsu; , 378-0111; +81 278-52-3939","","","","","Brewery, Bar"
"https://www.beeradvocate.com/place/list/?start=20&c_id=JP&brewery=Y&sort=name","Devil Craft Brewery","","","","-","-","-","0",""
